TranType,Amount,Category,Description,Date
Expense,10.71,"Entertainment (Movies, Concerts, Hobbies)",KINDLE,2025-02-06 00:00:00
Expense,10.71,"Entertainment (Movies, Concerts, Hobbies)",KINDLE,2025-02-06 00:00:00
Expense,13.59,Groceries,HARRIS TEETER,2025-02-06 00:00:00
Expense,15.76,Gas Station/Vending Machine,QT,2025-02-07 00:00:00
Expense,10.71,"Entertainment (Movies, Concerts, Hobbies)",KINDLE,2025-02-07 00:00:00
Expense,7.59,Gas Station/Vending Machine,QT,2025-02-10 00:00:00
Expense,8.54,"Subscriptions (Streaming Services, Gym Memberships)",CRUNCHYROLL,2025-02-10 00:00:00
Expense,7.09,Gas Station/Vending Machine,QT,2025-02-10 00:00:00
Expense,86.55,Dining Out,KPOT,2025-02-10 00:00:00
Expense,14.53,Gas Station/Vending Machine,QT,2025-02-10 00:00:00
Expense,10.65,Dining Out,COOK OUT,2025-02-10 00:00:00
Expense,3.91,Gas Station/Vending Machine,MARKET,2025-02-11 00:00:00
Expense,9.62,"Transportation (Gas, Maintenance, Public Transport)",QUICK PASS,2025-02-11 00:00:00
Expense,15.0,"Subscriptions (Streaming Services, Gym Memberships)",MICROSOFT,2025-02-11 00:00:00
Expense,6.62,Childcare/Education,SKYZONE,2025-02-11 00:00:00
Expense,4.14,Childcare/Education,SKYZONE,2025-02-12 00:00:00
Expense,32.06,Childcare/Education,SKYZONE,2025-02-12 00:00:00
Expense,10.34,Childcare/Education,SKYZONE,2025-02-12 00:00:00
Expense,5.0,Childcare/Education,SKYZONE,2025-02-12 00:00:00
Expense,28.41,Dining Out,CHIPOTLE,2025-02-12 00:00:00
Income,231.45,Salary/Wages,HARRIS TEETER,2025-02-12 00:00:00
Expense,10.29,Gas Station/Vending Machine,CIRCLE K,2025-02-12 00:00:00
Expense,10.0,Groceries,HARRIS TEETER,2025-02-12 00:00:00
Expense,41.05,Groceries,HARRIS TEETER,2025-02-12 00:00:00
